taxon_id	input	rank	suggested
8838	Anas penelope	species	Mareca penelope
301608	Pipile cumanensis grayi	species	Pipile grayi
117000	Phoenicopterus ruber chilensis	species	Phoenicopterus chilensis
9111	Anthropoides virgo	species	Grus virgo
1118511	Laterallus viridis	species	Anurolimnas viridis
1192867	Larus ridibundus	species	Chroicocephalus ridibundus
119411	Tauraco porphyreolophus	species	Gallirex porphyreolophus
1854009	Setopagis parvula	species	Setopagis parvulus
473341	Chlorestes notatus	species	Chlorostilbon notatus
51356	Leuconotopicus villosus	species	Picoides villosus
91781	Ramphastos tucanus cuvieri	species	Ramphastos cuvieri
240741	Ramphastos vitellinus ariel	species	Ramphastos ariel
458107	Pionus seniloides	species	Pionus tumultuosus
215310	Alaudala rufescens	species	Calandrella rufescens
30423	Corvus monedula	species	Coloeus monedula
56796	Urocissa erythrorhyncha	species	Urocissa erythroryncha
44316	Erythrura gouldiae	species	Chloebia gouldiae
247978	Neochmia modesta	species	Aidemosyne modesta
247737	Neochmia ruficauda	species	Bathilda ruficauda
247775	Taeniopygia bichenovii	species	Stizoptera bichenovii
72892	Pygochelidon cyanoleuca	species	Notiochelidon cyanoleuca
1118844	Sturnella militaris	species	Leistes militaris
201302	Babax lanceolatus	species	Garrulax lanceolatus
520168	Garrulax cineraceus	species	Ianthocincla cineracea
201347	Minla cyanouroptera	species	Actinodura cyanouroptera
1343492	Turdoides malcolmi	species	Argya malcolmi
140053	Monticola cinclorhynchus	species	Monticola cinclorhyncha
1477527	Montifringilla davidiana	species	Pyrgilauda davidiana
374636	Pycnonotus leucogenys	species	Pycnonotus leucogenis
36269	Spodiopsar cineraceus	species	Sturnus cineraceus
451425	Temenuchus pagodarum	species	Sturnia pagodarum
48878	Cactospiza pallida	species	Camarhynchus pallidus
548488	Oryzoborus maximiliani	species	Sporophila maximiliani
1608427	Pomatorhinus erythrogenys	species	Erythrogenys erythrogenys
