taxon_id	input	rank	suggested
2082420	Silobia rufescens	species	Myriospora rufescens
271729	Aetea anguinea	species	Aetea anguina
267552	Sarcocornia perennis	species	Salicornia perennis
2499986	Campyliadelphus elodes	species	Kandaea elodes
111435	Hygroamblystegium tenax	species	Amblystegium tenax
140012	Serpoleskea confervoides	species	Platydictya confervoides
69983	Palustriella commutata	species	Palustriella falcata
467939	Ceraceomyces borealis	species	Serpulomyces borealis
248324	Anastrophyllum hellerianum	species	Crossocalyx hellerianus
209807	Barbilophozia kunzeana	species	Schljakovia kunzeana
537838	Barbilophozia quadriloba	species	Schljakovianthus quadrilobus
1331087	Orthocaulis attenuatus	species	Neoorthocaulis attenuatus
209806	Orthocaulis floerkei	species	Neoorthocaulis floerkei
181044	Conidiobolus osmodes	species	Neoconidiobolus osmodes
76012	Conidiobolus thromboides	species	Neoconidiobolus thromboides
2589380	Monia patelliformis	species	Pododesmus patelliformis
2849586	Foeniculum vulgare	species	Anethum foeniculum
52477	Imperatoria ostruthium	species	Peucedanum ostruthium
529820	Amastigomonas media	species	Amastigomonas sp. 6B/7c
529821	Amastigomonas oxoniensis	species	Amastigomonas sp. IVY8c
2951309	Arca tetragona	species	Tetrarca tetragona
1260762	Arctomia fascicularis	species	Gabura fascicularis
1542792	Arthonia cinnabarina	species	Coniocarpon cinnabarinum
2906069	Arthonia spadicea	species	Diarthonis spadicea
278010	Arthopyrenia punctiformis	species	Arthopyrenia salicis
65487	Arthroderma persicolor	species	Nannizzia persicolor
63405	Nannizzia otae	species	Microsporum canis
28483	Scilla autumnalis	species	Prospero autumnale
119177	Inula conyzae	species	Inula conyza
75960	Mycelis muralis	species	Cicerbita muralis
875176	Dischloridium laeense	species	Australiasca laeensis
152316	Truncatella truncata	species	Truncatella angustata
203270	Mahonia aquifolium	species	Berberis aquifolium
122423	Bionectria ralfsii	species	Clonostachys ralfsii
115233	Hydropisphaera arenula	species	Fusariella arenula
1276720	Conocybe arrhenii	species	Pholiotina arrhenii
1354920	Boletus chrysenteron	species	Xerocomellus chrysenteron
203730	Aegonychon purpureocaeruleum	species	Aegonychon purpurocaeruleum
420778	Botryosphaeria obtusa	species	Diplodia seriata
66738	Sphaeropsis sapinea	species	Diplodia sapinea
184650	Homalothecium lutescens	species	Camptothecium lutescens
161951	Erophila glabrescens	species	Draba verna
161951	Erophila majuscula	species	Draba verna
161951	Erophila verna	species	Draba verna
200801	Bryum algovicum	species	Plagiobryum algovicum
576376	Bryum apiculatum	species	Anomobryum apiculatum
200803	Bryum archangelicum	species	Ptychostomum archangelicum
576377	Bryum arcticum	species	Ptychostomum arcticum
388895	Bryum bornholmense	species	Rosulabryum bornholmense
66992	Bryum caespiticium	species	Gemmabryum caespiticium
99387	Bryum capillare	species	Rosulabryum capillare
200806	Bryum cyclophyllum	species	Ptychostomum cyclophyllum
187845	Bryum demissum	species	Plagiobryum demissum
576378	Bryum dichotomum	species	Gemmabryum dichotomum
66993	Bryum donianum	species	Plagiobryum donianum
2929762	Bryum elegans	species	Ptychostomum elegans
216088	Bryum gemmiferum	species	Gemmabryum gemmiferum
388898	Bryum gemmilucens	species	Gemmabryum gemmilucens
187837	Bryum gemmiparum	species	Imbribryum gemmiparum
420775	Bryum klinggraeffii	species	Gemmabryum klinggraeffii
563845	Bryum mildeanum	species	Imbribryum mildeanum
187838	Bryum muehlenbeckii	species	Imbribryum muehlenbeckii
200810	Bryum pallens	species	Ptychostomum pallens
187839	Bryum pallescens	species	Ptychostomum pallescens
190272	Bryum radiculosum	species	Gemmabryum radiculosum
187841	Bryum rubens	species	Rosulabryum rubens
190271	Bryum ruderale	species	Gemmabryum ruderale
981516	Bryum schleicheri	species	Ptychostomum schleicheri
388900	Bryum subapiculatum	species	Imbribryum subapiculatum
388901	Bryum tenuisetum	species	Imbribryum tenuisetum
981517	Bryum turbinatum	species	Ptychostomum turbinatum
200812	Bryum uliginosum	species	Plagiobryum uliginosum
388903	Bryum violaceum	species	Gemmabryum violaceum
187846	Bryum zieri	species	Ptychostomum zieri
66991	Bryum alpinum	species	Imbribryum alpinum
67232	Bryum julaceum	species	Anomobryum julaceum
1053389	Sagina filicaulis	species	Sagina apetala
