taxon_id	input	rank
102642	Abax parallelepipedus	species
442079	Abdera biflexuosa	species
433183	Abdera quadrifasciata	species
1384715	Abia aenea	species
362089	Abia candens	species
410258	Abia sericea	species
878967	Ablattaria laevigata	species
1553014	Abraeus perpusillus	species
38527	Abramis brama	species
190335	Abraxas sylvata	species
938171	Abrostola tripartita	species
254365	Abrostola triplasia	species
346680	Acalles misellus	species
1400082	Acalypta parvula	species
472225	Rhabdocalyptus dawsoni	species
1699427	Acanthocardia aculeata	species
385555	Acanthocardia tuberculata	species
126420	Acanthochitona crinita	species
71285	Acanthodoris pilosa	species
483950	Acanthosoma haemorrhoidale	species
934820	Acasis viretata	species
8957	Accipiter gentilis	species
1666818	Acentria ephemerella	species
66205	Acer campestre	species
4026	Acer pseudoplatanus	species
493638	Achaius oratorius	species
61895	Achelia echinata	species
13329	Achillea millefolium	species
133233	Achillea ptarmica	species
753485	Achlya flavicornis	species
2922911	Acholoe squamosa	species
103409	Acidia cognata	species
1667461	Aclastus solutus	species
758704	Acleris aspersana	species
758705	Acleris cristana	species
758706	Acleris emargana	species
758707	Acleris ferrugana	species
572801	Acleris forsskaleana	species
1594215	Acleris hastiana	species
572802	Acleris holmiana	species
758708	Acleris kochiella	species
758709	Acleris laterana	species
1100899	Acleris literana	species
758713	Acleris notana	species
758714	Acleris rhombana	species
758717	Acleris sparsana	species
572803	Acleris variegana	species
59808	Acricotopus lucens	species
877760	Acritus nigricornis	species
1594216	Acrobasis advenella	species
1100900	Acrobasis consociella	species
1100902	Acrobasis repandana	species
1857951	Acrobasis suavella	species
210248	Acrocera orbiculus	species
82558	Acrocnida brachiata	species
240811	Acroloxus lacustris	species
2733411	Acromegalomma coloratum	species
2784888	Acromegalomma vesiculosum	species
987859	Acronicta aceris	species
987860	Acronicta alni	species
987862	Acronicta leporina	species
987865	Acronicta psi	species
753146	Acronicta rumicis	species
2916800	Acropora aff. formosa FJVB	species
46686	Acropora cytherea	species
1869258	Acropora glauca	species
141011	Acropora spathulata	species
2886803	Acrosathe annulata	species
73033	Acrosiphonia arcta	species
869165	Actenicerus siaelandicus	species
1918022	Actia lamia	species
2980510	Actinauge abyssorum	species
6106	Actinia equina	species
396334	Actinia fragacea	species
346686	Acupalpus dubius	species
877763	Acupalpus exiguus	species
115343	Adalia decempunctata	species
176095	Adamsia palliata	species
1869408	Adela croesella	species
233158	Adela reaumurella	species
236346	Adelphocoris lineolatus	species
2163040	Adia cinerella	species
13818	Adiantum capillus-veneris	species
699887	Adicella reducta	species
1487353	Adna anglica	species
212759	Adonis annua	species
4208	Adoxa moschatellina	species
1553034	Adrastus pallens	species
203730	Aegonychon purpurocaeruleum	species
40902	Aegopodium podagraria	species
1511221	Aelia acuminata	species
195873	Aeolidia papillosa	species
2890202	Aeolosoma venustum	species
43364	Aesculus hippocastanum	species
197113	Aeshna juncea	species
229377	Aeshna mixta	species
753148	Aethes cnicana	species
107770	Agabus bipustulatus	species
1226120	Agalenatea redii	species
1553036	Agapanthia villosoviridescens	species
1100904	Agapeta hamana	species
989733	Agapeta zoegana	species
1271715	Agapetus fuscipes	species
1875096	Agapetus ochripes	species
89882	Agaricia agaricites	species
262284	Agaricia lamarcki	species
83518	Agaricus xanthodermus	species
72715	Agelas oroides	species
131577	Agelastica alni	species
286032	Agelena labyrinthica	species
171585	Nymphalis io	species
111881	Nymphalis urticae	species
2921812	Aglaophamus agilis	species
396358	Aglaophenia kirchenpaueri	species
401954	Aglaophenia pluma	species
193173	Gaillona rosea	species
753149	Aglossa pinguinalis	species
1869417	Agonopterix alstromeriana	species
1594222	Agonopterix arenella	species
1073575	Agonopterix heracliana	species
1448892	Agonopterix liturosa	species
1594225	Agonopterix ocellana	species
1857958	Agonopterix subpropinquella	species
1553040	Agonum fuliginosum	species
795042	Agonum viduum	species
324822	Agrilus angustulus	species
1762823	Agrilus ater	species
324823	Agrilus biguttatus	species
1586972	Agrilus cyanescens	species
1553047	Agrilus sulcicollis	species
57912	Agrimonia eupatoria	species
104476	Agriopis aurantiaria	species
934821	Agriopis leucophaearia	species
190331	Agriopis marginaria	species
346688	Agriotes acuminatus	species
292458	Agriotes lineatus	species
869172	Agriotes pallidulus	species
346689	Agriotes sputator	species
1660579	Agriphila geniculea	species
1100907	Agriphila inquinatella	species
572809	Agriphila straminella	species
1594226	Agriphila tristella	species
987866	Agrochola circellaris	species
987869	Agrochola litura	species
987870	Agrochola lota	species
987871	Agrochola lychnidis	species
987872	Agrochola macilenta	species
71668	Agrocybe praecox	species
39848	Agrostemma githago	species
204232	Agrostis capillaris	species
63632	Agrostis stolonifera	species
997525	Agrotis clavis	species
215162	Agrotis exclamationis	species
56364	Agrotis ipsilon	species
1857961	Agrotis puta	species
195168	Agrypnus murinus	species
28023	Ahnfeltia plicata	species
396333	Aiptasia mutabilis	species
49984	Ajuga chamaepitys	species
38596	Ajuga reptans	species
2889	Alaria esculenta	species
57943	Alchemilla alpina	species
57945	Alchemilla arvensis	species
1572673	Alchemilla micans	species
174269	Alcis repandata	species
51987	Alcyonidium gelatinosum	species
2844360	Alcyonidium hirsutum	species
51768	Alcyonium digitatum	species
758720	Aleimma loeflingiana	species
144253	Aleiodes alternator	species
1844523	Aleiodes leptofemur	species
1045574	Aleiodes rugulosus	species
144254	Aleiodes similis	species
422171	Aleiodes testaceus	species
271774	Alentia gelatinosa	species
135919	Aleochara bipustulata	species
135881	Aleochara curtula	species
135900	Aleochara punctatella	species
15000	Alisma plantago-aquatica	species
880429	Alitta virens	species
39272	Allacma fusca	species
172818	Alleniella complanata	species
126270	Alliaria petiolata	species
4681	Allium ampeloprasum	species
166818	Allium paradoxum	species
74900	Allium schoenoprasum	species
74902	Allium triquetrum	species
4684	Allium ursinum	species
1053326	Allium vineale	species
302034	Allolobophora chlorotica	species
988056	Allophyes oxyacanthae	species
2870495	Alloplasta piceator	species
2998517	Allygidius commutatus	species
2591979	Allygus modestus	species
1655844	Alnetoidia alneti	species
3517	Alnus glutinosa	species
3516	Alnus incana	species
55944	Alomya debellator	species
1906961	Alopecosa fabrilis	species
75003	Alopecosa pulverulenta	species
15304	Alopecurus pratensis	species
150820	Alpheus macrocheles	species
104486	Alsophila aescularia	species
346691	Altica lythri	species
753150	Alucita hexadactyla	species
1491184	Alviniconcha adamantis	species
1491183	Alviniconcha boucheti	species
12928	Alviniconcha hessleri	species
1491185	Alviniconcha kojimai	species
1472349	Alviniconcha strummeri	species
2850632	Alysia manducator	species
2610874	Amanita fulvoides	species
536885	Amara aulica	species
877769	Amara communis	species
877770	Amara convexior	species
560979	Amathia citrina	species
336583	Amaurobius ferox	species
389027	Amaurobius similis	species
2867249	Amblyjoppa fuscipennis	species
1905387	Amblyjoppa proteus	species
2560943	Amblyptilia acanthadactyla	species
231887	Amblyteles armatorius	species
655806	Ametastegia equiseti	species
96047	Calamagrostis arenaria	species
1088609	Ammophila pubescens	species
1088610	Ammophila sabulosa	species
258330	Ammothea hilgendorfi	species
1586418	Ampedus glycereus	species
1732090	Ampelisca spinipes	species
1229738	Ampelisca tenuicornis	species
2980517	Amperima rosea	species
2989419	Amperima sp. GBC-2022	species
1220549	Amphibalanus improvisus	species
2019424	Amphicteis gunneri	species
2922910	Amphicteis midas	species
61544	Amphidium lapponicum	species
1209993	Amphiduros pacificus	species
360071	Amphimallon solstitiale	species
400682	Amphimedon queenslandica	species
1231183	Amphinemura standfussi	species
143724	Amphinemura sulcicollis	species
48271	Amphipholis squamata	species
987875	Amphipoea lucens	species
987876	Amphipoea oculea	species
187594	Amphiporus lactifloreus	species
987877	Amphipyra berbera	species
689058	Amphipyra tragopoginis	species
2979135	Amphiscolops sp. MND2022	species
205114	Amphitritides gracilis	species
82379	Amphiura chiajei	species
82378	Amphiura filiformis	species
371465	Ampithoe rubricata	species
446528	Anabolia nervosa	species
295560	Anacaena limbata	species
1594228	Anacampsis blattariella	species
59316	Anacamptis pyramidalis	species
4337	Anagallis arvensis	species
85162	Anagallis tenella	species
1100908	Anania crocealis	species
1100909	Anania fuscalis	species
1594229	Anania hortulata	species
1594230	Anania lancealis	species
214030	Anaplectoides prasina	species
116789	Anaptychia runcinata	species
2566270	Anarsia innoxiella	species
28680	Anas acuta	species
75839	Anas crecca	species
2878392	Anaspis fasciata	species
433021	Anaspis frontalis	species
433023	Anaspis lurida	species
295995	Anaspis maculata	species
346699	Anaspis regimbarti	species
264780	Anastrepta orcadensis	species
264786	Anastrophyllum donnianum	species
703254	Anatis ocellata	species
76990	Ancistrocerus nigricornis	species
71288	Ancula gibbosa	species
1869464	Ancylis achatana	species
1594232	Ancylis badiana	species
1100912	Ancylis unguicella	species
153587	Ancylus fluviatilis	species
1183219	Andreaea alpina	species
1183228	Andreaea mutabilis	species
64624	Andreaea nivalis	species
50745	Andreaea rothii	species
1190795	Andrena bicolor	species
1542580	Andrena bucephala	species
1411665	Andrena chrysosceles	species
465493	Andrena cineraria	species
1411666	Andrena dorsata	species
473392	Andrena flavipes	species
1411667	Andrena fulva	species
444401	Andrena haemorrhoa	species
1126402	Andrena hattorfiana	species
1190801	Andrena helvola	species
1542598	Andrena marginata	species
1190802	Andrena minutula	species
1126404	Andrena nitida	species
444429	Andrena nitidiuscula	species
1190803	Andrena praecox	species
444410	Andrena subopaca	species
1431430	Andrena trimmerana	species
95630	Andromeda polifolia	species
591633	Anelasmocephalus cambridgei	species
37489	Anemone nemorosa	species
445234	Pulsatilla vulgaris	species
51769	Anemonia viridis	species
1666820	Anerastia lotella	species
2849586	Anethum foeniculum	species
280810	Aneura mirabilis	species
1452759	Aneurus avenius	species
40949	Angelica archangelica	species
54703	Angelica sylvestris	species
2925007	Anilocra frontalis	species
185876	Anisosticta novemdecimpunctata	species
355579	Anisotoma humeralis	species
433188	Anisoxya fuscula	species
271030	Anisus vortex	species
52688	Ankyra judayi	species
877859	Anobium punctatum	species
244458	Anodontia alba	species
244460	Loripinus fragilis	species
200692	Anoectangium aestivum	species
1143021	Anomala dubia	species
102291	Anomia ephippium	species
67232	Anomobryum julaceum	species
253516	Anomodon viticulosus	species
103414	Anomoia purmunda	species
1667466	Anoplius nigerrimus	species
2979802	Anoplodactylus angulatus	species
988060	Anorthoa munda	species
1655854	Anoscopus albifrons	species
2784597	Anoscopus histrionicus	species
