taxon_id	input	rank
27602	Balaena mysticetus	species
160595	Eubalaena australis	species
27606	Eubalaena glacialis	species
302098	Eubalaena japonica	species
9767	Balaenoptera acutorostrata	species
33556	Balaenoptera bonaerensis	species
9768	Balaenoptera borealis	species
9769	Balaenoptera edeni	species
9771	Balaenoptera musculus	species
255217	Balaenoptera omurai	species
9770	Balaenoptera physalus	species
2746895	Balaenoptera ricei	species
9773	Megaptera novaeangliae	species
103582	Cephalorhynchus commersonii	species
27608	Cephalorhynchus eutropia	species
103583	Cephalorhynchus heavisidii	species
37035	Cephalorhynchus hectori	species
103584	Delphinus capensis	species
9728	Delphinus delphis	species
103592	Feresa attenuata	species
38241	Globicephala macrorhynchus	species
9731	Globicephala melas	species
83653	Grampus griseus	species
103594	Lagenodelphis hosei	species
90246	Lagenorhynchus acutus	species
27610	Lagenorhynchus albirostris	species
103586	Lagenorhynchus australis	species
103587	Lagenorhynchus cruciger	species
90247	Lagenorhynchus obliquidens	species
27611	Lagenorhynchus obscurus	species
103588	Lissodelphis borealis	species
27613	Lissodelphis peronii	species
48747	Orcaella brevirostris	species
682059	Orcaella heinsohni	species
9733	Orcinus orca	species
103596	Peponocephala electra	species
82174	Pseudorca crassidens	species
103598	Sotalia fluviatilis	species
338729	Sotalia guianensis	species
103600	Sousa chinensis	species
2880878	Sousa plumbea	species
1921798	Sousa sahulensis	species
511736	Sousa teuszii	species
9735	Stenella attenuata	species
103589	Stenella clymene	species
9737	Stenella coeruleoalba	species
103590	Stenella frontalis	species
9736	Stenella longirostris	species
46167	Steno bredanensis	species
79784	Tursiops aduncus	species
2944587	Tursiops erebennus	species
9739	Tursiops truncatus	species
9764	Eschrichtius robustus	species
9725	Inia geoffrensis	species
27615	Kogia breviceps	species
9752	Kogia sima	species
118797	Lipotes vexillifer	species
9749	Delphinapterus leucas	species
40151	Monodon monoceros	species
27604	Caperea marginata	species
189058	Neophocaena asiaeorientalis	species
34892	Neophocaena phocaenoides	species
34890	Phocoena dioptrica	species
9742	Phocoena phocoena	species
42100	Phocoena sinus	species
27614	Phocoena spinipinnis	species
9744	Phocoenoides dalli	species
9755	Physeter catodon	species
118798	Platanista gangetica	species
48752	Platanista minor	species
48723	Pontoporia blainvillei	species
74391	Berardius arnuxii	species
48742	Berardius bairdii	species
2608848	Berardius minimus	species
48744	Hyperoodon ampullatus	species
74392	Hyperoodon planifrons	species
221924	Indopacetus pacificus	species
48745	Mesoplodon bidens	species
74393	Mesoplodon bowdoini	species
9758	Mesoplodon carlhubbsi	species
48708	Mesoplodon densirostris	species
2878263	Mesoplodon eueu	species
27616	Mesoplodon europaeus	species
272214	Mesoplodon ginkgodens	species
74394	Mesoplodon grayi	species
52112	Mesoplodon hectori	species
1234366	Mesoplodon hotaula	species
74395	Mesoplodon layardii	species
52113	Mesoplodon mirus	species
187411	Mesoplodon perrini	species
27617	Mesoplodon peruvianus	species
52114	Mesoplodon stejnegeri	species
200929	Mesoplodon traversii	species
52116	Tasmacetus shepherdi	species
9760	Ziphius cavirostris	species
