taxon_id	input	rank
437603	Paramoeba perurans	species
2594091	Stygocapitella zecai	species
34613	Ixodes ricinus	species
311540	Caligus curtus	species
257370	Caligus elongatus	species
2665213	Triangulus munidae	species
6837	Calanus finmarchicus	species
134639	Amara alpina	species
395521	Bombus distinguendus	species
163670	Bombus subterraneus	species
88504	Lasioglossum calceatum	species
984905	Diamesa hyperborea	species
2578515	Diamesa serratosioi	species
201501	Epirrita autumnata	species
6759	Carcinus maenas	species
41210	Chionoecetes opilio	species
48144	Meganyctiphanes norvegica	species
6703	Pandalus borealis	species
44932	Boreogadus saida	species
8049	Gadus morhua	species
56723	Labrus bergylta	species
8074	Lophius piscatorius	species
69944	Lota lota	species
30960	Mallotus villosus	species
8030	Salmo salar	species
13677	Scomber scombrus	species
394699	Sebastes norvegicus	species
156871	Rana arvalis	species
8323	Triturus cristatus	species
371907	Bubo scandiacus	species
127875	Cinclus cinclus	species
28701	Fratercula arctica	species
52792	Luscinia svecica	species
7748	Lampetra fluviatilis	species
7750	Lampetra planeri	species
648166	Etmopterus spinax	species
9852	Alces alces	species
79949	Lemmus lemmus	species
13125	Lynx lynx	species
37176	Ovibos moschatus	species
9720	Phoca vitulina	species
228257	Rangifer tarandus platyrhyncus	subspecies
9870	Rangifer tarandus	species
7769	Myxine glutinosa	species
8524	Zootoca vivipara	species
2697470	Synoicum turgens	species
174260	Desmophyllum pertusum	species
27804	Cyanea capillata	species
7671	Strongylocentrotus droebachiensis	species
1028688	Arion vulgaris	species
6269	Anisakis simplex	species
6271	Pseudoterranova decipiens	species
192631	Elaphostrongylus rangiferi	species
2528854	Nectonema munidae	species
1081673	Antho dichotoma	species
519541	Geodia barretti	species
232323	Hypsibius dujardini	species
1689870	Aurantiochytrium sp.	species
2044469	Labyrinthulochytrium arktikum	species
1907177	Schizochytrium sp.	species
145168	Thraustochytrium sp.	species
2889	Alaria esculenta	species
52969	Ascophyllum nodosum	species
49266	Fucus vesiculosus	species
90893	Laminaria hyperborea	species
309358	Saccharina latissima	species
454130	Aspergillus calidoustus	species
1400299	Erioderma pedicellatum	species
2055192	Helvella alpina	species
78322	Helvella corium	species
2055215	Helvella nannfeldtii	species
29923	Amylomyces rouxii	species
858854	Cortinarius alpinus	species
75324	Cortinarius caperatus	species
1589806	Phlegmacium inexspectatum	species
2558181	Calonarius mariekristinae	species
418151	Calonarius osloensis	species
304739	Phlegmacium tiliae	species
889777	Cuphophyllus canescens	species
40483	Fomitopsis pinicola	species
167356	Inonotus obliquus	species
230758	Strobilurus esculentus	species
41251	Strobilurus tenacellus	species
50383	Trichaptum laricinum	species
4829	Absidia glauca	species
155726	Cunninghamella blakesleeana	species
42458	Lichtheimia corymbifera	species
64518	Mortierella alpina	species
64524	Linnemannia hyalina	species
36080	Mucor circinelloides	species
4846	Rhizopus stolonifer	species
44442	Umbelopsis vinacea	species
185665	Phaeoceros carolinianus	species
231083	Sphagnum annulatum	species
128190	Sphagnum compactum	species
231084	Sphagnum arcticum	species
128184	Sphagnum balticum	species
128206	Sphagnum jensenii	species
128247	Sphagnum tenellum	species
128251	Sphagnum troendelagicum	species
2817510	Tolypella normaniana	species
13385	Calluna vulgaris	species
109591	Cardamine bellidifolia	species
13447	Conium maculatum	species
90606	Micranthes nivalis	species
20804	Oxytropis deflexa	species
1891520	Potentilla arenosa subsp. chamissonis	subspecies
97307	Prunus padus	species
135518	Ribes uva-crispa	species
57936	Rubus chamaemorus	species
406025	Saxifraga adscendens	species
102720	Saxifraga cotyledon	species
669826	Saxifraga hyperborea	species
102733	Saxifraga osloensis	species
406026	Saxifraga tridactylites	species
57947	Sibbaldia procumbens	species
29663	Brachypodium pinnatum	species
114204	Narthecium ossifragum	species
1187000	Colura calyptrifolia	species
1133313	Scapania nimbosa	species
147940	Asplenium viride	species
125796	Benthosema glaciale	species
76058	Somateria mollissima	species
478208	Flustra foliacea	species
860324	Melica nutans	species
